Starting server...
Setting up game classes...
Echo game set up
Model game started
Game classes set up
Server socket started.
Server socket started.
User 0 is switching to game 1
game 1
Model started
new Spin started 0 6 1
updateWarmup 0:10.0;1;0
RUN STARTED 
Spin started
updateWarmup 0:9.899999618530273;1;
updateWarmup 0:9.799999237060547;1;
updateWarmup 0:9.69999885559082;1;
updateWarmup 0:9.599998474121094;1;
updateWarmup 0:9.499998092651367;1;
updateWarmup 0:9.39999771118164;1;
updateWarmup 0:9.299997329711914;1;
updateWarmup 0:9.199996948242188;1;
updateWarmup 0:9.099996566772461;1;
updateWarmup 0:8.999996185302734;1;
updateWarmup 0:8.899995803833008;1;
updateWarmup 0:8.799995422363281;1;
updateWarmup 0:8.699995040893555;1;
updateWarmup 0:8.599994659423828;1;
updateWarmup 0:8.499994277954102;1;
Server socket started.
User 1 is switching to game 1
game 1
Model started
updateWarmup 0:8.499994277954102;2;
RUN STARTED 
updateWarmup 0:8.399993896484375;2;
updateWarmup 0:8.399993896484375;2;
updateWarmup 0:8.299993515014648;2;
updateWarmup 0:8.299993515014648;2;
updateWarmup 0:8.199993133544922;2;
updateWarmup 0:8.199993133544922;2;
updateWarmup 0:8.099992752075195;2;
updateWarmup 0:8.099992752075195;2;
updateWarmup 0:7.999992847442627;2;
updateWarmup 0:7.999992847442627;2;
updateWarmup 0:7.899992942810059;2;
updateWarmup 0:7.899992942810059;2;
updateWarmup 0:7.79999303817749;2;
updateWarmup 0:7.79999303817749;2;
updateWarmup 0:7.699993133544922;2;
updateWarmup 0:7.699993133544922;2;
updateWarmup 0:7.5999932289123535;2;
updateWarmup 0:7.5999932289123535;2;
updateWarmup 0:7.499993324279785;2;
updateWarmup 0:7.499993324279785;2;
updateWarmup 0:7.399993419647217;2;
updateWarmup 0:7.399993419647217;2;
updateWarmup 0:7.299993515014648;2;
updateWarmup 0:7.299993515014648;2;
updateWarmup 0:7.19999361038208;2;
updateWarmup 0:7.19999361038208;2;
updateWarmup 0:7.099993705749512;2;
updateWarmup 0:7.099993705749512;2;
updateWarmup 0:6.999993801116943;2;
updateWarmup 0:6.999993801116943;2;
updateWarmup 0:6.899993896484375;2;
updateWarmup 0:6.899993896484375;2;
updateWarmup 0:6.799993991851807;2;
updateWarmup 0:6.799993991851807;2;
updateWarmup 0:6.699994087219238;2;
updateWarmup 0:6.699994087219238;2;
updateWarmup 0:6.59999418258667;2;
updateWarmup 0:6.59999418258667;2;
updateWarmup 0:6.499994277954102;2;
updateWarmup 0:6.499994277954102;2;
updateWarmup 0:6.399994373321533;2;
updateWarmup 0:6.399994373321533;2;
updateWarmup 0:6.299994468688965;2;
updateWarmup 0:6.299994468688965;2;
updateWarmup 0:6.1999945640563965;2;
updateWarmup 0:6.1999945640563965;2;
updateWarmup 0:6.099994659423828;2;
updateWarmup 0:6.099994659423828;2;
updateWarmup 0:5.99999475479126;2;
updateWarmup 0:5.99999475479126;2;
updateWarmup 0:5.899994850158691;2;
updateWarmup 0:5.899994850158691;2;
Choosing country
Set country
received string 0:1
send false
0:1
updateWarmup 0:5.799994945526123;2;1
updateWarmup 0:5.799994945526123;2;1
updateWarmup 0:5.699995040893555;2;1
updateWarmup 0:5.699995040893555;2;1
updateWarmup 0:5.599995136260986;2;1
updateWarmup 0:5.599995136260986;2;1
updateWarmup 0:5.499995231628418;2;1
updateWarmup 0:5.499995231628418;2;1
updateWarmup 0:5.39999532699585;2;1
updateWarmup 0:5.39999532699585;2;1
updateWarmup 0:5.299995422363281;2;1
updateWarmup 0:5.299995422363281;2;1
updateWarmup 0:5.199995517730713;2;1
updateWarmup 0:5.199995517730713;2;1
updateWarmup 0:5.0999956130981445;2;1
updateWarmup 0:5.0999956130981445;2;1
updateWarmup 0:4.999995708465576;2;1
updateWarmup 0:4.999995708465576;2;1
updateWarmup 0:4.899995803833008;2;1
updateWarmup 0:4.899995803833008;2;1
updateWarmup 0:4.7999958992004395;2;1
updateWarmup 0:4.7999958992004395;2;1
updateWarmup 0:4.699995994567871;2;1
updateWarmup 0:4.699995994567871;2;1
updateWarmup 0:4.599996089935303;2;1
updateWarmup 0:4.599996089935303;2;1
updateWarmup 0:4.499996185302734;2;1
updateWarmup 0:4.499996185302734;2;1
updateWarmup 0:4.399996280670166;2;1
updateWarmup 0:4.399996280670166;2;1
updateWarmup 0:4.299996376037598;2;1
updateWarmup 0:4.299996376037598;2;1
updateWarmup 0:4.199996471405029;2;1
updateWarmup 0:4.199996471405029;2;1
